approach,feature,all f1 (mean),large f1 (mean),medium f1 (mean),small f1 (mean),all f1 (std),large f1 (std),medium f1 (std),small f1 (std),all false (mean),large false (mean),medium false (mean),small false (mean),all false (std),large false (std),medium false (std),small false (std)
baseline_all,feature_all,0.4914,0.6634,0.4042,0.26,0.0238,0.0154,0.0541,0.0475,85,20,20,44,4,2,2,2
baseline_part,feature_all,0.4946,0.6681,0.3577,0.2922,0.027,0.0202,0.0543,0.0539,83,18,23,42,4,2,1,3
smote_part,feature_all,0.5399,0.6952,0.4045,0.3667,0.0324,0.0223,0.0598,0.0577,78,21,20,36,5,2,2,3
avpass_part,feature_all,0.6955,0.7387,0.512,0.7398,0.0278,0.0318,0.0826,0.033,52,21,17,13,4,2,3,2
sia_part,feature_all,0.7806,0.9335,0.6238,0.625,0.0397,0.0186,0.0643,0.0816,34,1,11,21,6,1,2,5
mlp_part,feature_all,0.467,0.6651,0.308,0.2375,0.0182,0.0254,0.0559,0.0366,88,18,24,45,4,3,2,2
prototype_part,feature_all,0.4393,0.5746,0.2933,0.3063,0.0211,0.0332,0.0414,0.0358,107,46,22,37,4,4,2,2
relation_part,feature_all,0.3599,0.6278,0.1542,0.0438,0.0646,0.1087,0.0525,0.0263,105,19,29,56,13,11,1,1
gat_part,feature_all,0.4581,0.6338,0.305,0.2622,0.0208,0.0188,0.0383,0.044,94,27,24,42,3,3,2,2
ggnn_part,feature_all,0.4787,0.6499,0.3289,0.2881,0.0353,0.039,0.0417,0.0538,93,29,22,40,5,4,1,3
baseline_all,feature_link,0.4787,0.6476,0.3942,0.2505,0.0289,0.0267,0.0493,0.0476,87,22,20,44,4,2,2,3
baseline_part,feature_link,0.4868,0.6481,0.3724,0.2904,0.0343,0.03,0.0577,0.0557,86,22,22,41,5,2,2,3
smote_part,feature_link,0.5164,0.6626,0.3778,0.3604,0.028,0.0227,0.0696,0.0577,84,26,21,36,4,2,2,3
avpass_part,feature_link,0.6517,0.6841,0.4807,0.7059,0.027,0.028,0.0963,0.0421,61,28,18,14,5,3,3,2
sia_part,feature_link,0.7811,0.9204,0.6554,0.6286,0.0477,0.0093,0.0928,0.1056,34,3,10,20,7,1,3,6
mlp_part,feature_link,0.4402,0.6188,0.305,0.2282,0.0305,0.0273,0.0643,0.0456,94,23,24,45,5,2,2,3
prototype_part,feature_link,0.4015,0.5474,0.228,0.2681,0.024,0.0381,0.0412,0.0429,115,49,25,40,4,4,1,3
relation_part,feature_link,0.3611,0.6289,0.1687,0.0365,0.0434,0.0728,0.0469,0.0167,104,18,29,57,8,7,2,1
gat_part,feature_link,0.4313,0.5866,0.2961,0.258,0.0332,0.0335,0.0518,0.0394,99,32,24,42,5,3,2,2
ggnn_part,feature_link,0.4516,0.6191,0.3025,0.2669,0.021,0.0284,0.0548,0.0367,98,32,24,42,3,3,2,2
baseline_all,feature_sim,0.4525,0.6211,0.3584,0.2311,0.0306,0.0369,0.0516,0.0434,93,25,22,46,5,3,2,2
baseline_part,feature_sim,0.4547,0.6191,0.3224,0.2645,0.0266,0.0265,0.052,0.0472,90,22,24,43,4,2,2,3
smote_part,feature_sim,0.4894,0.6342,0.3361,0.3451,0.0257,0.0318,0.0375,0.043,90,29,23,37,4,3,1,2
avpass_part,feature_sim,0.6507,0.6865,0.4787,0.7,0.0162,0.0301,0.0589,0.0325,61,27,18,15,3,3,2,1
sia_part,feature_sim,0.7787,0.9281,0.6406,0.6173,0.0549,0.0203,0.112,0.0878,35,2,11,21,9,1,4,5
mlp_part,feature_sim,0.4258,0.6052,0.2781,0.2204,0.0172,0.0374,0.0565,0.0436,96,23,26,46,3,5,2,3
prototype_part,feature_sim,0.3845,0.5232,0.2382,0.2461,0.0228,0.04,0.0434,0.0274,120,53,25,41,4,3,2,2
relation_part,feature_sim,0.3196,0.5657,0.1194,0.0361,0.0556,0.1029,0.0726,0.0229,111,23,31,57,10,11,3,1
gat_part,feature_sim,0.4318,0.5948,0.2624,0.2673,0.0282,0.0215,0.0635,0.0448,99,31,26,42,4,2,2,2
ggnn_part,feature_sim,0.4506,0.621,0.2881,0.2696,0.0195,0.0303,0.0425,0.0473,98,31,25,42,3,3,2,3
