sig pair,approach,all f1,large f1,medium f1,small f1
feature_all vs. feature_link,baseline_all,0.1084908831019293,0.8827164397165802,0.7139471903674566,0.05814379381957375
feature_all vs. feature_sim,baseline_all,0.3170833264737555,0.8577479857991209,0.23189774240288777,0.8950317218803041
feature_link vs. feature_sim,baseline_all,0.9034696802917175,0.7591703331486683,0.3750789571440347,0.11740235872211581
feature_all vs. feature_link,baseline_part,0.028706410946019605,0.6620435802629137,0.6247527785760845,0.016149376194864618
feature_all vs. feature_sim,baseline_part,0.21452737004417965,0.39197306444145974,0.5737222607917504,0.6367773232514942
feature_link vs. feature_sim,baseline_part,0.481794009442272,0.6159448820113482,0.8694470111966108,0.06017458538681138
feature_all vs. feature_link,smote_part,0.25372825826287876,0.6245107805512957,0.7917537577806282,0.0768463827540012
feature_all vs. feature_sim,smote_part,0.44289729173158543,0.5281065141333396,0.1311149360862838,0.39839542372699355
feature_link vs. feature_sim,smote_part,0.6554246023481366,0.8390649834227482,0.2256533312928424,0.014478279698582704
feature_all vs. feature_link,avpass_part,0.13633746189679408,0.5609534371494109,0.8754843424349592,0.0014877511209497316
feature_all vs. feature_sim,avpass_part,0.10712138858567895,0.374540448847379,0.3023498189149997,0.05512196909970832
feature_link vs. feature_sim,avpass_part,0.8341859346786511,0.7481962878892203,0.3512979495278179,0.2926162847508519
feature_all vs. feature_link,sia_part,0.021655770581488324,0.8267612125282295,0.9899322737001377,0.0002118826694662549
feature_all vs. feature_sim,sia_part,0.3178535217553057,0.9755839315906178,0.9630359815966462,0.09592485361949626
feature_link vs. feature_sim,sia_part,0.06236423915102489,0.8036601305815065,0.955975574651806,0.0007422074623044827
feature_all vs. feature_link,mlp_part,0.029345598413915246,0.22152800603420672,0.6393188362264799,0.0652867029544577
feature_all vs. feature_sim,mlp_part,0.06095776396555687,0.18477640165720008,0.40350771571866606,0.5979137540794
feature_link vs. feature_sim,mlp_part,0.42420908329014795,0.8876786676031561,0.7948462094268024,0.10702131026907505
feature_all vs. feature_link,prototype_part,0.002023293709118517,0.008551231813270293,0.3285158443570326,0.037450390854043156
feature_all vs. feature_sim,prototype_part,0.011595774107604309,0.022080228756287276,0.09312964419360764,0.3052483758978668
feature_link vs. feature_sim,prototype_part,0.6070576185517985,0.8198826704558544,0.641660117043502,0.1657356218144828
feature_all vs. feature_link,relation_part,0.1391005529122958,0.09705839807583874,0.972993437807796,0.7627838312890005
feature_all vs. feature_sim,relation_part,0.6286442805024388,0.8048936472154163,0.508493050386265,0.5425041545729911
feature_link vs. feature_sim,relation_part,0.498057643865108,0.3061300171844133,0.49112258912826556,0.8571416564813572
feature_all vs. feature_link,gat_part,0.1230342203862563,0.7080070731811353,0.2929114325590229,0.011847022757569376
feature_all vs. feature_sim,gat_part,0.00559774235923481,0.23584926545978624,0.062088719852718154,0.010936883728992777
feature_link vs. feature_sim,gat_part,0.4508914522784405,0.18315595825575312,0.4890304328657721,0.6347708722779434
feature_all vs. feature_link,ggnn_part,0.31645734331747594,0.8935232711887555,0.8525915104706258,0.06408469496952846
feature_all vs. feature_sim,ggnn_part,0.2665172479555928,0.9731648491708974,0.4799043291077574,0.13473766576108928
feature_link vs. feature_sim,ggnn_part,0.7235355031034958,0.9379999278090305,0.41218822240249064,0.7182647114907554
