approach,all f1 (mean),large f1 (mean),medium f1 (mean),small f1 (mean),all f1 (std),large f1 (std),medium f1 (std),small f1 (std),all false (mean),large false (mean),medium false (mean),small false (mean),all false (std),large false (std),medium false (std),small false (std)
10,0.3872,0.5022,0.2446,0.2858,0.0205,0.0345,0.0369,0.0251,103,40,28,34,3,4,1,0
20,0.8212,0.8901,0.7475,0.75,0.0181,0.0214,0.0502,0.0338,29,9,8,11,3,2,1,1
30,0.927,0.964,0.8811,0.8943,0.0152,0.0064,0.052,0.0311,11,3,3,5,2,1,1,1
40,0.9385,0.9693,0.9052,0.907,0.0116,0.0049,0.0421,0.0307,9,2,2,4,1,1,1,1
50,0.9425,0.9708,0.9067,0.9183,0.0151,0.0055,0.045,0.0326,9,2,2,3,1,1,1,1
60,0.9421,0.9698,0.9048,0.9203,0.0076,0.0071,0.0445,0.0197,9,2,2,3,1,1,1,0
70,0.9443,0.9712,0.9126,0.919,0.0162,0.0067,0.0524,0.0336,9,2,2,3,2,1,1,1
80,0.9468,0.9727,0.9193,0.9196,0.0131,0.0083,0.0391,0.0298,8,2,2,3,2,1,1,1
90,0.9448,0.9722,0.92,0.9123,0.0099,0.0051,0.0421,0.0274,9,2,2,4,1,1,1,1
100,0.944,0.9713,0.917,0.9137,0.0116,0.0098,0.0331,0.0362,9,2,2,3,1,1,1,1
110,0.9456,0.9722,0.9141,0.921,0.0094,0.0073,0.0341,0.0221,8,2,2,3,1,1,1,0
120,0.9411,0.9727,0.9096,0.9063,0.0075,0.0068,0.0342,0.03,9,2,2,4,1,1,1,1
130,0.9476,0.9726,0.9259,0.917,0.013,0.0058,0.0422,0.0345,8,2,2,3,1,1,1,1
140,0.9473,0.9726,0.9216,0.9196,0.0083,0.0047,0.0443,0.0209,8,2,2,3,1,1,1,1
150,0.9444,0.974,0.9187,0.9083,0.0093,0.0062,0.0397,0.0164,9,2,2,4,1,1,1,0
160,0.944,0.9727,0.9138,0.9136,0.0108,0.007,0.0386,0.0211,9,2,2,4,1,1,1,0
170,0.946,0.9722,0.9178,0.919,0.0124,0.0061,0.0375,0.0294,8,2,2,3,1,1,1,1
180,0.9447,0.9726,0.9164,0.9143,0.0086,0.0067,0.0363,0.0228,8,2,2,4,1,1,1,1
190,0.9459,0.9732,0.9174,0.917,0.0099,0.0057,0.046,0.0235,8,2,2,3,1,1,1,1
200,0.948,0.9731,0.9216,0.9216,0.0106,0.0063,0.0405,0.0254,8,2,2,3,1,1,1,1
210,0.946,0.9732,0.9252,0.9103,0.0117,0.0055,0.0393,0.034,8,2,2,4,1,1,1,1
220,0.9482,0.9732,0.9187,0.925,0.0079,0.0062,0.0357,0.0248,8,2,2,3,0,1,1,1
221,0.943,0.9717,0.9113,0.9143,0.011,0.0073,0.0338,0.0277,9,2,2,3,1,1,1,1
