fold,classifier,large pre,large re,large f1,medium pre,medium re,medium f1,small pre,small re,small f1,all acc,all pre,all re,all f1,all mcc
0,dtree,0.9587,0.99,0.9722,0.9296,0.9556,0.937,0.807,0.8421,0.818,0.9321,0.9006,0.9321,0.912,0.9309
1,dtree,0.9698,0.97,0.9694,0.8944,0.9556,0.9126,0.7895,0.8289,0.8026,0.9186,0.8924,0.9186,0.9005,0.917
2,dtree,0.9636,0.99,0.9757,0.8722,0.9111,0.883,0.7895,0.8289,0.8026,0.9186,0.8851,0.9186,0.8973,0.9169
3,dtree,0.9379,0.95,0.9394,0.8963,0.9556,0.9148,0.7478,0.8026,0.7654,0.9005,0.864,0.9005,0.8746,0.8986
4,dtree,0.9546,0.97,0.9609,0.8296,0.9111,0.8556,0.7895,0.8158,0.7982,0.905,0.8723,0.905,0.8835,0.903
5,dtree,0.9784,0.96,0.9678,0.8667,0.9556,0.8919,0.7741,0.8158,0.7873,0.9095,0.8854,0.9095,0.8902,0.9079
6,dtree,0.9818,0.97,0.9746,0.863,0.9333,0.8852,0.7346,0.7895,0.7522,0.9005,0.8726,0.9005,0.8799,0.8985
7,dtree,0.9833,1.0,0.9909,0.8611,0.9333,0.883,0.8289,0.8553,0.8377,0.9367,0.9054,0.9367,0.9162,0.9355
8,dtree,0.9618,0.97,0.9657,0.8741,0.9556,0.9,0.75,0.8026,0.7675,0.9095,0.8711,0.9095,0.8842,0.9077
9,dtree,0.9909,0.97,0.9795,0.9278,0.9778,0.9422,0.7763,0.8289,0.7939,0.9231,0.9043,0.9231,0.908,0.9216
0,knn,0.9201,0.94,0.9222,0.9556,0.9778,0.963,0.8596,0.8816,0.8662,0.9276,0.9065,0.9276,0.9112,0.9265
1,knn,0.9375,0.92,0.9145,0.9389,0.9778,0.9496,0.8465,0.8816,0.8575,0.9186,0.9065,0.9186,0.902,0.9176
2,knn,0.9464,0.96,0.95,0.8889,0.9333,0.9037,0.886,0.9079,0.8925,0.9367,0.9139,0.9367,0.9208,0.9355
3,knn,0.9375,0.95,0.9414,0.9333,0.9556,0.9407,0.8794,0.9079,0.8882,0.9367,0.9167,0.9367,0.923,0.9354
4,knn,0.9369,0.96,0.947,0.9556,0.9778,0.963,0.8596,0.8816,0.8662,0.9367,0.9141,0.9367,0.9225,0.9354
5,knn,0.9519,0.93,0.936,0.9389,0.9778,0.9496,0.8596,0.8947,0.8706,0.9276,0.9175,0.9276,0.9163,0.9264
6,knn,0.9088,0.91,0.9005,0.9111,0.9333,0.9185,0.8838,0.9079,0.8904,0.914,0.9007,0.914,0.9007,0.9128
7,knn,0.9441,0.97,0.9544,0.9333,0.9556,0.9407,0.8728,0.8947,0.8794,0.9412,0.9174,0.9412,0.9258,0.9401
8,knn,0.9189,0.93,0.9211,0.9444,0.9778,0.9556,0.8487,0.8816,0.8597,0.9231,0.9,0.9231,0.907,0.9216
9,knn,0.9381,0.94,0.9336,0.9444,0.9778,0.9556,0.8717,0.8947,0.8781,0.9321,0.9166,0.9321,0.919,0.9311
0,rf,0.9742,0.99,0.9809,0.9407,0.9778,0.9519,0.8596,0.8816,0.8662,0.9502,0.928,0.9502,0.9355,0.9493
1,rf,0.9698,0.97,0.9694,0.8944,0.9778,0.92,0.875,0.8816,0.8772,0.9412,0.9219,0.9412,0.9277,0.9401
2,rf,0.9818,0.99,0.9852,0.8852,0.9556,0.9074,0.9013,0.9079,0.9035,0.9548,0.9345,0.9548,0.9413,0.9539
3,rf,0.9485,0.96,0.9499,0.9296,0.9778,0.9444,0.8421,0.8684,0.8509,0.9321,0.9081,0.9321,0.9147,0.9309
4,rf,0.9727,0.98,0.9757,0.963,1.0,0.9741,0.8816,0.8947,0.886,0.9548,0.9394,0.9548,0.9445,0.9539
5,rf,0.9784,0.96,0.9678,0.9222,0.9778,0.9363,0.8355,0.8684,0.8465,0.9321,0.9178,0.9321,0.9196,0.931
6,rf,0.9727,0.99,0.9809,0.9407,0.9778,0.9519,0.8816,0.8947,0.886,0.9548,0.9349,0.9548,0.9424,0.9539
7,rf,0.9833,1.0,0.9909,0.9167,0.9556,0.9274,0.8947,0.9079,0.8991,0.9593,0.9393,0.9593,0.9464,0.9586
8,rf,0.9618,0.97,0.9657,0.9296,0.9778,0.9444,0.8947,0.9079,0.8991,0.9502,0.9322,0.9502,0.9385,0.9492
9,rf,0.9909,0.99,0.99,0.95,1.0,0.9644,0.8618,0.8816,0.8684,0.9548,0.9382,0.9548,0.943,0.9539
0,svm,0.9642,0.99,0.9762,0.9407,0.9778,0.9519,0.8531,0.8684,0.8575,0.9457,0.9212,0.9457,0.9304,0.9447
1,svm,0.9609,0.97,0.9652,0.9241,0.9778,0.9385,0.8487,0.8684,0.8553,0.9367,0.9148,0.9367,0.922,0.9354
2,svm,0.9742,0.99,0.9809,0.8963,0.9556,0.9148,0.9079,0.9079,0.9079,0.9548,0.9356,0.9548,0.9423,0.9539
3,svm,0.954,0.97,0.9608,0.9296,0.9778,0.9444,0.8618,0.8816,0.8684,0.9412,0.9174,0.9412,0.9257,0.94
4,svm,0.9678,0.99,0.9769,0.963,1.0,0.9741,0.9079,0.9079,0.9079,0.9638,0.9462,0.9638,0.9526,0.9632
5,svm,0.9775,0.96,0.9678,0.9111,0.9778,0.9289,0.8618,0.8816,0.8684,0.9367,0.9242,0.9367,0.9257,0.9356
6,svm,0.9809,0.99,0.9852,0.9074,0.9556,0.9222,0.8289,0.8553,0.8377,0.9367,0.9137,0.9367,0.9217,0.9354
7,svm,0.9742,1.0,0.9862,0.9167,0.9556,0.9274,0.8684,0.8816,0.8728,0.9502,0.9261,0.9502,0.9352,0.9493
8,svm,0.9536,0.97,0.9614,0.9296,0.9778,0.9444,0.8816,0.8947,0.886,0.9457,0.924,0.9457,0.932,0.9446
9,svm,0.9809,0.99,0.9852,0.95,1.0,0.9644,0.8684,0.8816,0.8728,0.9548,0.9359,0.9548,0.9423,0.9539
